BatchID,JobID,alpha_a,alpha_b,alpha_c,beta_a,beta_b,beta_c,gamma_BA,gamma_CA,delta_BA,delta_CA,delBEa
852,1,0.2,0.6,0.2,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,2,0.6,0.6,0.2,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,3,0.9,0.6,0.2,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,4,0.2,0.9,0.2,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,5,0.6,0.9,0.2,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,6,0.9,0.9,0.2,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,7,0.2,0.2,0.6,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,8,0.6,0.2,0.6,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,9,0.9,0.2,0.6,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,10,0.2,0.6,0.6,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,11,0.6,0.6,0.6,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,12,0.9,0.6,0.6,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,13,0.2,0.9,0.6,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,14,0.6,0.9,0.6,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,15,0.9,0.9,0.6,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,16,0.2,0.2,0.9,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,17,0.6,0.2,0.9,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,18,0.9,0.2,0.9,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,19,0.2,0.6,0.9,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,20,0.6,0.6,0.9,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,21,0.9,0.6,0.9,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,22,0.2,0.9,0.9,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,23,0.6,0.9,0.9,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
852,24,0.9,0.9,0.9,0.9,0.6,0.9,1.4,1.8,1.0,1.5,0.3
