BatchID,JobID,alpha_a,alpha_b,alpha_c,beta_a,beta_b,beta_c,gamma_BA,gamma_CA,delta_BA,delta_CA,delBEa
47,1,0.2,0.9,0.6,0.6,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,2,0.6,0.9,0.6,0.6,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,3,0.9,0.9,0.6,0.6,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,4,0.2,0.2,0.9,0.6,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,5,0.6,0.2,0.9,0.6,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,6,0.9,0.2,0.9,0.6,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,7,0.2,0.6,0.9,0.6,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,8,0.6,0.6,0.9,0.6,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,9,0.9,0.6,0.9,0.6,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,10,0.2,0.9,0.9,0.6,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,11,0.6,0.9,0.9,0.6,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,12,0.9,0.9,0.9,0.6,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,13,0.2,0.2,0.2,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,14,0.6,0.2,0.2,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,15,0.9,0.2,0.2,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,16,0.2,0.6,0.2,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,17,0.6,0.6,0.2,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,18,0.9,0.6,0.2,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,19,0.2,0.9,0.2,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,20,0.6,0.9,0.2,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,21,0.9,0.9,0.2,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,22,0.2,0.2,0.6,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,23,0.6,0.2,0.6,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,24,0.9,0.2,0.6,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,25,0.2,0.6,0.6,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,26,0.6,0.6,0.6,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,27,0.9,0.6,0.6,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,28,0.2,0.9,0.6,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,29,0.6,0.9,0.6,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,30,0.9,0.9,0.6,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,31,0.2,0.2,0.9,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,32,0.6,0.2,0.9,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,33,0.9,0.2,0.9,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,34,0.2,0.6,0.9,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,35,0.6,0.6,0.9,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,36,0.9,0.6,0.9,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,37,0.2,0.9,0.9,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,38,0.6,0.9,0.9,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,39,0.9,0.9,0.9,0.9,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,40,0.2,0.2,0.2,1.2,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,41,0.6,0.2,0.2,1.2,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,42,0.9,0.2,0.2,1.2,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,43,0.2,0.6,0.2,1.2,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,44,0.6,0.6,0.2,1.2,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,45,0.9,0.6,0.2,1.2,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,46,0.2,0.9,0.2,1.2,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,47,0.6,0.9,0.2,1.2,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,48,0.9,0.9,0.2,1.2,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,49,0.2,0.2,0.6,1.2,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,50,0.6,0.2,0.6,1.2,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,51,0.9,0.2,0.6,1.2,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,52,0.2,0.6,0.6,1.2,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,53,0.6,0.6,0.6,1.2,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,54,0.9,0.6,0.6,1.2,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,55,0.2,0.9,0.6,1.2,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,56,0.6,0.9,0.6,1.2,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,57,0.9,0.9,0.6,1.2,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,58,0.2,0.2,0.9,1.2,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,59,0.6,0.2,0.9,1.2,1.2,0.6,1.8,0.6,1.5,1.0,0.5
47,60,0.9,0.2,0.9,1.2,1.2,0.6,1.8,0.6,1.5,1.0,0.5
