BatchID,JobID,alpha_a,alpha_b,alpha_c,beta_a,beta_b,beta_c,gamma_BA,gamma_CA,delta_BA,delta_CA,delBEa
1,1,0.2,0.2,0.6,0.6,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,2,0.6,0.2,0.6,0.6,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,3,0.9,0.2,0.6,0.6,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,4,0.2,0.6,0.6,0.6,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,5,0.6,0.6,0.6,0.6,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,6,0.9,0.6,0.6,0.6,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,7,0.2,0.9,0.6,0.6,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,8,0.6,0.9,0.6,0.6,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,9,0.9,0.9,0.6,0.6,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,10,0.2,0.2,0.9,0.6,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,11,0.6,0.2,0.9,0.6,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,12,0.9,0.2,0.9,0.6,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,13,0.2,0.6,0.9,0.6,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,14,0.6,0.6,0.9,0.6,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,15,0.9,0.6,0.9,0.6,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,16,0.2,0.9,0.9,0.6,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,17,0.6,0.9,0.9,0.6,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,18,0.9,0.9,0.9,0.6,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,19,0.2,0.2,0.2,0.9,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,20,0.6,0.2,0.2,0.9,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,21,0.9,0.2,0.2,0.9,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,22,0.2,0.6,0.2,0.9,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,23,0.6,0.6,0.2,0.9,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,24,0.9,0.6,0.2,0.9,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,25,0.2,0.9,0.2,0.9,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,26,0.6,0.9,0.2,0.9,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,27,0.9,0.9,0.2,0.9,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,28,0.2,0.2,0.6,0.9,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,29,0.6,0.2,0.6,0.9,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,30,0.9,0.2,0.6,0.9,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,31,0.2,0.6,0.6,0.9,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,32,0.6,0.6,0.6,0.9,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,33,0.9,0.6,0.6,0.9,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,34,0.2,0.9,0.6,0.9,0.9,0.9,1.4,1.8,1.0,1.0,0.5
1,35,0.6,0.9,0.6,0.9,0.9,0.9,1.4,1.8,1.0,1.0,0.5
