BatchID,JobID,alpha_a,alpha_b,alpha_c,beta_a,beta_b,beta_c,gamma_BA,gamma_CA,delta_BA,delta_CA,delBEa
407,1,0.2,0.9,0.6,1.2,1.2,1.2,1.4,1.4,1.5,1.5,0.5
407,2,0.6,0.9,0.6,1.2,1.2,1.2,1.4,1.4,1.5,1.5,0.5
407,3,0.9,0.9,0.6,1.2,1.2,1.2,1.4,1.4,1.5,1.5,0.5
407,4,0.2,0.2,0.9,1.2,1.2,1.2,1.4,1.4,1.5,1.5,0.5
407,5,0.6,0.2,0.9,1.2,1.2,1.2,1.4,1.4,1.5,1.5,0.5
407,6,0.9,0.2,0.9,1.2,1.2,1.2,1.4,1.4,1.5,1.5,0.5
407,7,0.2,0.6,0.9,1.2,1.2,1.2,1.4,1.4,1.5,1.5,0.5
407,8,0.6,0.6,0.9,1.2,1.2,1.2,1.4,1.4,1.5,1.5,0.5
407,9,0.9,0.6,0.9,1.2,1.2,1.2,1.4,1.4,1.5,1.5,0.5
407,10,0.2,0.9,0.9,1.2,1.2,1.2,1.4,1.4,1.5,1.5,0.5
407,11,0.6,0.9,0.9,1.2,1.2,1.2,1.4,1.4,1.5,1.5,0.5
407,12,0.9,0.9,0.9,1.2,1.2,1.2,1.4,1.4,1.5,1.5,0.5
407,13,0.2,0.2,0.2,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,14,0.6,0.2,0.2,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,15,0.9,0.2,0.2,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,16,0.2,0.6,0.2,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,17,0.6,0.6,0.2,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,18,0.9,0.6,0.2,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,19,0.2,0.9,0.2,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,20,0.6,0.9,0.2,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,21,0.9,0.9,0.2,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,22,0.2,0.2,0.6,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,23,0.6,0.2,0.6,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,24,0.9,0.2,0.6,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,25,0.2,0.6,0.6,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,26,0.6,0.6,0.6,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,27,0.9,0.6,0.6,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,28,0.2,0.9,0.6,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,29,0.6,0.9,0.6,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,30,0.9,0.9,0.6,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,31,0.2,0.2,0.9,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,32,0.6,0.2,0.9,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,33,0.9,0.2,0.9,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,34,0.2,0.6,0.9,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,35,0.6,0.6,0.9,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,36,0.9,0.6,0.9,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,37,0.2,0.9,0.9,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,38,0.6,0.9,0.9,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,39,0.9,0.9,0.9,0.6,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,40,0.2,0.2,0.2,0.9,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,41,0.6,0.2,0.2,0.9,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,42,0.9,0.2,0.2,0.9,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,43,0.2,0.6,0.2,0.9,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,44,0.6,0.6,0.2,0.9,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,45,0.9,0.6,0.2,0.9,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,46,0.2,0.9,0.2,0.9,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,47,0.6,0.9,0.2,0.9,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,48,0.9,0.9,0.2,0.9,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,49,0.2,0.2,0.6,0.9,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,50,0.6,0.2,0.6,0.9,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,51,0.9,0.2,0.6,0.9,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,52,0.2,0.6,0.6,0.9,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,53,0.6,0.6,0.6,0.9,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,54,0.9,0.6,0.6,0.9,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,55,0.2,0.9,0.6,0.9,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,56,0.6,0.9,0.6,0.9,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,57,0.9,0.9,0.6,0.9,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,58,0.2,0.2,0.9,0.9,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,59,0.6,0.2,0.9,0.9,0.6,0.6,1.8,1.4,1.5,1.5,0.5
407,60,0.9,0.2,0.9,0.9,0.6,0.6,1.8,1.4,1.5,1.5,0.5
