BatchID,JobID,alpha_a,alpha_b,alpha_c,beta_a,beta_b,beta_c,gamma_BA,gamma_CA,delta_BA,delta_CA,delBEa
156,1,0.2,0.6,0.9,1.2,0.9,0.6,1.8,0.6,0.5,1.5,0.5
156,2,0.6,0.6,0.9,1.2,0.9,0.6,1.8,0.6,0.5,1.5,0.5
156,3,0.9,0.6,0.9,1.2,0.9,0.6,1.8,0.6,0.5,1.5,0.5
156,4,0.2,0.9,0.9,1.2,0.9,0.6,1.8,0.6,0.5,1.5,0.5
156,5,0.6,0.9,0.9,1.2,0.9,0.6,1.8,0.6,0.5,1.5,0.5
156,6,0.9,0.9,0.9,1.2,0.9,0.6,1.8,0.6,0.5,1.5,0.5
156,7,0.2,0.2,0.2,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,8,0.6,0.2,0.2,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,9,0.9,0.2,0.2,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,10,0.2,0.6,0.2,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,11,0.6,0.6,0.2,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,12,0.9,0.6,0.2,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,13,0.2,0.9,0.2,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,14,0.6,0.9,0.2,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,15,0.9,0.9,0.2,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,16,0.2,0.2,0.6,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,17,0.6,0.2,0.6,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,18,0.9,0.2,0.6,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,19,0.2,0.6,0.6,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,20,0.6,0.6,0.6,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,21,0.9,0.6,0.6,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,22,0.2,0.9,0.6,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,23,0.6,0.9,0.6,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,24,0.9,0.9,0.6,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,25,0.2,0.2,0.9,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,26,0.6,0.2,0.9,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,27,0.9,0.2,0.9,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,28,0.2,0.6,0.9,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,29,0.6,0.6,0.9,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,30,0.9,0.6,0.9,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,31,0.2,0.9,0.9,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,32,0.6,0.9,0.9,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,33,0.9,0.9,0.9,0.6,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,34,0.2,0.2,0.2,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,35,0.6,0.2,0.2,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,36,0.9,0.2,0.2,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,37,0.2,0.6,0.2,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,38,0.6,0.6,0.2,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,39,0.9,0.6,0.2,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,40,0.2,0.9,0.2,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,41,0.6,0.9,0.2,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,42,0.9,0.9,0.2,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,43,0.2,0.2,0.6,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,44,0.6,0.2,0.6,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,45,0.9,0.2,0.6,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,46,0.2,0.6,0.6,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,47,0.6,0.6,0.6,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,48,0.9,0.6,0.6,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,49,0.2,0.9,0.6,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,50,0.6,0.9,0.6,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,51,0.9,0.9,0.6,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,52,0.2,0.2,0.9,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,53,0.6,0.2,0.9,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,54,0.9,0.2,0.9,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,55,0.2,0.6,0.9,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,56,0.6,0.6,0.9,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,57,0.9,0.6,0.9,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,58,0.2,0.9,0.9,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,59,0.6,0.9,0.9,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
156,60,0.9,0.9,0.9,0.9,1.2,0.6,1.8,0.6,0.5,1.5,0.5
