BatchID,JobID,alpha_a,alpha_b,alpha_c,beta_a,beta_b,beta_c,gamma_BA,gamma_CA,delta_BA,delta_CA,delBEa
23,1,0.2,0.9,0.2,0.9,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,2,0.6,0.9,0.2,0.9,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,3,0.9,0.9,0.2,0.9,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,4,0.2,0.2,0.6,0.9,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,5,0.6,0.2,0.6,0.9,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,6,0.9,0.2,0.6,0.9,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,7,0.2,0.6,0.6,0.9,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,8,0.6,0.6,0.6,0.9,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,9,0.9,0.6,0.6,0.9,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,10,0.2,0.9,0.6,0.9,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,11,0.6,0.9,0.6,0.9,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,12,0.9,0.9,0.6,0.9,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,13,0.2,0.2,0.9,0.9,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,14,0.6,0.2,0.9,0.9,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,15,0.9,0.2,0.9,0.9,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,16,0.2,0.6,0.9,0.9,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,17,0.6,0.6,0.9,0.9,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,18,0.9,0.6,0.9,0.9,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,19,0.2,0.9,0.9,0.9,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,20,0.6,0.9,0.9,0.9,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,21,0.9,0.9,0.9,0.9,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,22,0.2,0.2,0.2,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,23,0.6,0.2,0.2,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,24,0.9,0.2,0.2,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,25,0.2,0.6,0.2,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,26,0.6,0.6,0.2,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,27,0.9,0.6,0.2,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,28,0.2,0.9,0.2,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,29,0.6,0.9,0.2,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,30,0.9,0.9,0.2,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,31,0.2,0.2,0.6,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,32,0.6,0.2,0.6,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,33,0.9,0.2,0.6,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,34,0.2,0.6,0.6,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,35,0.6,0.6,0.6,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,36,0.9,0.6,0.6,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,37,0.2,0.9,0.6,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,38,0.6,0.9,0.6,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,39,0.9,0.9,0.6,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,40,0.2,0.2,0.9,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,41,0.6,0.2,0.9,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,42,0.9,0.2,0.9,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,43,0.2,0.6,0.9,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,44,0.6,0.6,0.9,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,45,0.9,0.6,0.9,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,46,0.2,0.9,0.9,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,47,0.6,0.9,0.9,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,48,0.9,0.9,0.9,1.2,1.2,0.6,0.6,0.6,1.5,1.0,0.5
23,49,0.2,0.2,0.2,0.6,0.6,0.9,0.6,0.6,1.5,1.0,0.5
23,50,0.6,0.2,0.2,0.6,0.6,0.9,0.6,0.6,1.5,1.0,0.5
23,51,0.9,0.2,0.2,0.6,0.6,0.9,0.6,0.6,1.5,1.0,0.5
23,52,0.2,0.6,0.2,0.6,0.6,0.9,0.6,0.6,1.5,1.0,0.5
23,53,0.6,0.6,0.2,0.6,0.6,0.9,0.6,0.6,1.5,1.0,0.5
23,54,0.9,0.6,0.2,0.6,0.6,0.9,0.6,0.6,1.5,1.0,0.5
23,55,0.2,0.9,0.2,0.6,0.6,0.9,0.6,0.6,1.5,1.0,0.5
23,56,0.6,0.9,0.2,0.6,0.6,0.9,0.6,0.6,1.5,1.0,0.5
23,57,0.9,0.9,0.2,0.6,0.6,0.9,0.6,0.6,1.5,1.0,0.5
23,58,0.2,0.2,0.6,0.6,0.6,0.9,0.6,0.6,1.5,1.0,0.5
23,59,0.6,0.2,0.6,0.6,0.6,0.9,0.6,0.6,1.5,1.0,0.5
23,60,0.9,0.2,0.6,0.6,0.6,0.9,0.6,0.6,1.5,1.0,0.5
