BatchID,JobID,alpha_a,alpha_b,alpha_c,beta_a,beta_b,beta_c,gamma_BA,gamma_CA,delta_BA,delta_CA,delBEa
792,1,0.2,0.6,0.6,0.9,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,2,0.6,0.6,0.6,0.9,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,3,0.9,0.6,0.6,0.9,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,4,0.2,0.9,0.6,0.9,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,5,0.6,0.9,0.6,0.9,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,6,0.9,0.9,0.6,0.9,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,7,0.2,0.2,0.9,0.9,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,8,0.6,0.2,0.9,0.9,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,9,0.9,0.2,0.9,0.9,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,10,0.2,0.6,0.9,0.9,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,11,0.6,0.6,0.9,0.9,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,12,0.9,0.6,0.9,0.9,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,13,0.2,0.9,0.9,0.9,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,14,0.6,0.9,0.9,0.9,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,15,0.9,0.9,0.9,0.9,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,16,0.2,0.2,0.2,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,17,0.6,0.2,0.2,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,18,0.9,0.2,0.2,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,19,0.2,0.6,0.2,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,20,0.6,0.6,0.2,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,21,0.9,0.6,0.2,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,22,0.2,0.9,0.2,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,23,0.6,0.9,0.2,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,24,0.9,0.9,0.2,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,25,0.2,0.2,0.6,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,26,0.6,0.2,0.6,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,27,0.9,0.2,0.6,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,28,0.2,0.6,0.6,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,29,0.6,0.6,0.6,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,30,0.9,0.6,0.6,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,31,0.2,0.9,0.6,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,32,0.6,0.9,0.6,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,33,0.9,0.9,0.6,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,34,0.2,0.2,0.9,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,35,0.6,0.2,0.9,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,36,0.9,0.2,0.9,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,37,0.2,0.6,0.9,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,38,0.6,0.6,0.9,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,39,0.9,0.6,0.9,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
792,40,0.2,0.9,0.9,1.2,0.6,0.9,1.8,0.6,0.5,1.0,0.8
