BatchID,JobID,alpha_a,alpha_b,alpha_c,beta_a,beta_b,beta_c,gamma_BA,gamma_CA,delta_BA,delta_CA,delBEa
269,1,0.2,0.9,0.6,0.9,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,2,0.6,0.9,0.6,0.9,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,3,0.9,0.9,0.6,0.9,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,4,0.2,0.2,0.9,0.9,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,5,0.6,0.2,0.9,0.9,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,6,0.9,0.2,0.9,0.9,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,7,0.2,0.6,0.9,0.9,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,8,0.6,0.6,0.9,0.9,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,9,0.9,0.6,0.9,0.9,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,10,0.2,0.9,0.9,0.9,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,11,0.6,0.9,0.9,0.9,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,12,0.9,0.9,0.9,0.9,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,13,0.2,0.2,0.2,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,14,0.6,0.2,0.2,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,15,0.9,0.2,0.2,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,16,0.2,0.6,0.2,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,17,0.6,0.6,0.2,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,18,0.9,0.6,0.2,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,19,0.2,0.9,0.2,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,20,0.6,0.9,0.2,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,21,0.9,0.9,0.2,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,22,0.2,0.2,0.6,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,23,0.6,0.2,0.6,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,24,0.9,0.2,0.6,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,25,0.2,0.6,0.6,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,26,0.6,0.6,0.6,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,27,0.9,0.6,0.6,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,28,0.2,0.9,0.6,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,29,0.6,0.9,0.6,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,30,0.9,0.9,0.6,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,31,0.2,0.2,0.9,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,32,0.6,0.2,0.9,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,33,0.9,0.2,0.9,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,34,0.2,0.6,0.9,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,35,0.6,0.6,0.9,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,36,0.9,0.6,0.9,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,37,0.2,0.9,0.9,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,38,0.6,0.9,0.9,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,39,0.9,0.9,0.9,1.2,0.9,0.6,1.4,1.4,1.5,0.5,0.3
269,40,0.2,0.2,0.2,0.6,1.2,0.6,1.4,1.4,1.5,0.5,0.3
269,41,0.6,0.2,0.2,0.6,1.2,0.6,1.4,1.4,1.5,0.5,0.3
