BatchID,JobID,alpha_a,alpha_b,alpha_c,beta_a,beta_b,beta_c,gamma_BA,gamma_CA,delta_BA,delta_CA,delBEa
1462,1,0.2,0.2,0.9,0.6,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,2,0.6,0.2,0.9,0.6,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,3,0.9,0.2,0.9,0.6,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,4,0.2,0.6,0.9,0.6,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,5,0.6,0.6,0.9,0.6,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,6,0.9,0.6,0.9,0.6,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,7,0.2,0.9,0.9,0.6,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,8,0.6,0.9,0.9,0.6,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,9,0.9,0.9,0.9,0.6,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,10,0.2,0.2,0.2,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,11,0.6,0.2,0.2,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,12,0.9,0.2,0.2,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,13,0.2,0.6,0.2,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,14,0.6,0.6,0.2,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,15,0.9,0.6,0.2,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,16,0.2,0.9,0.2,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,17,0.6,0.9,0.2,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,18,0.9,0.9,0.2,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,19,0.2,0.2,0.6,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,20,0.6,0.2,0.6,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,21,0.9,0.2,0.6,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,22,0.2,0.6,0.6,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,23,0.6,0.6,0.6,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,24,0.9,0.6,0.6,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,25,0.2,0.9,0.6,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,26,0.6,0.9,0.6,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,27,0.9,0.9,0.6,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,28,0.2,0.2,0.9,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,29,0.6,0.2,0.9,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,30,0.9,0.2,0.9,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,31,0.2,0.6,0.9,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,32,0.6,0.6,0.9,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
1462,33,0.9,0.6,0.9,0.9,1.2,0.6,1.4,1.4,1.0,1.0,0.5
