BatchID,JobID,alpha_a,alpha_b,alpha_c,beta_a,beta_b,beta_c,gamma_BA,gamma_CA,delta_BA,delta_CA,delBEa
62,1,0.2,0.9,0.6,0.6,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,2,0.6,0.9,0.6,0.6,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,3,0.9,0.9,0.6,0.6,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,4,0.2,0.2,0.9,0.6,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,5,0.6,0.2,0.9,0.6,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,6,0.9,0.2,0.9,0.6,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,7,0.2,0.6,0.9,0.6,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,8,0.6,0.6,0.9,0.6,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,9,0.9,0.6,0.9,0.6,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,10,0.2,0.9,0.9,0.6,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,11,0.6,0.9,0.9,0.6,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,12,0.9,0.9,0.9,0.6,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,13,0.2,0.2,0.2,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,14,0.6,0.2,0.2,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,15,0.9,0.2,0.2,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,16,0.2,0.6,0.2,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,17,0.6,0.6,0.2,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,18,0.9,0.6,0.2,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,19,0.2,0.9,0.2,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,20,0.6,0.9,0.2,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,21,0.9,0.9,0.2,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,22,0.2,0.2,0.6,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,23,0.6,0.2,0.6,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,24,0.9,0.2,0.6,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,25,0.2,0.6,0.6,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,26,0.6,0.6,0.6,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,27,0.9,0.6,0.6,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,28,0.2,0.9,0.6,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,29,0.6,0.9,0.6,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,30,0.9,0.9,0.6,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,31,0.2,0.2,0.9,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,32,0.6,0.2,0.9,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,33,0.9,0.2,0.9,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,34,0.2,0.6,0.9,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,35,0.6,0.6,0.9,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,36,0.9,0.6,0.9,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
62,37,0.2,0.9,0.9,0.9,0.6,0.6,1.8,1.4,0.5,0.5,0.3
